index,surface,lemma,enlemma,clar,pos,gender,number,notes,extra,sort
0,10 y cant,10 y cant,10 per cent,,h,,,\N,\N,000u031jq
1,'cw,'cw,there,,adv,,,\N,\N,03t
2,'na,'na,there,,adv,,,\N,\N,0j1
3,â,â,as,(mor/cyn ... â),conj,,,\N,\N,1
4,a,a,and,,conj,,,\N,\N,1
5,a,a,who,(nominative/accusative),pron.rel,\N,\N,\N,\N,1
6,a,a,,(interrogative verbal particle),prt.int,,,\N,\N,1
7,â,â,with,,prep,,,\N,\N,1
8,ag,â,with,(before vowel),prep,,,\N,\N,1
9,â'i ben yn ei blu,â'i ben yn ei blu,with his head in the sand,,h,,,\N,\N,10d027j0uj07d02gs
10,a'th,a'th,with_your,,prep+poss,,2s,\N,\N,10r
11,abacws,abacws,abacus,,n,m,sg,\N,\N,1213tp
15,aber,aber,estuary,,n,m,sg,\N,\N,127n
16,Aberdyfi,Aberdyfi,Aberdovey,,name,,,place,\N,127n5u8d
17,Abertawe,Abertawe,Swansea,,name,,,place,\N,127nq1t7
18,aberth,aberth,sacrifice,,n,m,sg,\N,\N,127nr
39,aberthu,aberthu,sacrifice,,v,\N,\N,\N,\N,127nrs
95,aberu,aberu,flow_into,,v,\N,\N,\N,\N,127ns
130,abiéc,abiéc,alphabet,\N,n,m,sg,\N,\N,12d73
131,absennol,absennol,absent,,adj,,,\N,\N,12p7jjkg
161,absennu,absennu,backbite,,v,\N,\N,\N,\N,12p7jjs
186,absenoldeb,absenoldeb,absence,,n,m,sg,\N,\N,12p7jkg572
188,absoliwt,absoliwt,absolute,,adj,,,\N,\N,12pkgdtq
189,ac,ac,and,,conj,,,\N,\N,13
190,ac_ati,ac_ati,and_so_on,,adv,,,\N,\N,1301qd
191,academaidd,academaidd,academic,,adj,,,\N,\N,13157i1d6
192,academi,academi,academy,,n,m,sg,\N,\N,13157id
195,academydd,academydd,academic,,n,m,sg,\N,\N,13157iu6
196,acen,acen,accent,,n,f,sg,\N,\N,137j
229,acennu,acennu,accentuate,,v,\N,\N,\N,\N,137jjs
253,acer,acer,acre,,n,f,sg,\N,\N,137n
254,aciwt,aciwt,acute,,adj,,,\N,\N,13dtq
255,acordion,acordion,accordion,\N,n,m,sg,\N,\N,13kn5dkj
276,actio,actio,act,,v,\N,\N,\N,\N,13qdk
308,actor,actor,actor,,n,m,sg,\N,\N,13qkn
309,actores,actores,actress,,n,f,sg,\N,\N,13qkn7p
311,acw,acw,over there,,adv,,,\N,\N,13t
362,achlesu,achlesu,succour,,v,\N,\N,\N,\N,14g7ps
366,achlysur,achlysur,occasion,,n,m,sg,\N,\N,14gupsn
388,achlysuro,achlysuro,occasion,,v,\N,\N,\N,\N,14gupsnk
422,achlysurol,achlysurol,occasional,,adj,,,\N,\N,14gupsnkg
423,achos,achos,cause,,n,m,sg,\N,\N,14kp
424,achos,achos,because,\N,conj,\N,\N,\N,\N,14kp
426,achos cryf dros,achos cryf dros,a strong case for,,n,m,sg,\N,\N,14kp03nu805nkp
455,achosi,achosi,cause,,v,\N,\N,\N,\N,14kpd
481,achosiant,achosiant,causation,,n,m,sg,\N,\N,14kpd1jq
482,achrededig,achrededig,accredited,,adj,,,\N,\N,14n7575da
483,achrediad,achrediad,accreditation,,n,m,sg,\N,\N,14n75d15
485,achredu,achredu,accredit,,v,\N,\N,\N,\N,14n75s
505,achub,achub,save,,v,\N,\N,\N,\N,14s2
541,achubiad,achubiad,deliverance,,n,m,sg,\N,\N,14s2d15
545,achwyn,achwyn,complain,,v,\N,\N,\N,\N,14tuj
597,achwynydd,achwynydd,plaintiff,,n,m,sg,\N,\N,14tuju6
601,ad-daliad,ad-daliad,repayment,,n,m,sg,\N,\N,15051gd15
623,ad-dalu,ad-dalu,repay,,v,\N,\N,\N,\N,15051gs
666,ad-drefnu,ad-drefnu,reorganise,,v,\N,\N,\N,\N,1505n78js
712,adain,adain,wing,,n,f,sg,\N,\N,151dj
756,adalw,adalw,retrieve,,v,\N,\N,\N,\N,151gt
770,adalwad,adalwad,callback,,n,f,sg,\N,\N,151gt15
775,adara,adara,catch_birds,,v,\N,\N,\N,\N,151n1
878,adarfogi,adarfogi,rearm,,v,\N,\N,\N,\N,151n8kad
896,adargraffu,adargraffu,reprint,,v,\N,\N,\N,\N,151nan19s
938,adborth,adborth,feedback,,n,m,sg,\N,\N,152knr
939,adborthi,adborthi,feedback,,v,\N,\N,\N,\N,152knrd
940,adbryniad,adbryniad,redemption,(of loan),n,m,sg,\N,\N,152nujd15
963,adchwyddo,adchwyddo,reinflate,,v,\N,\N,\N,\N,154tu6k
997,adeg,adeg,time,,n,f,sg,\N,\N,157a
998,adeilad,adeilad,building,,n,mf,sg,\N,\N,157dg15
1000,adeiladaeth,adeiladaeth,construction,,n,f,sg,\N,\N,157dg1517r
1003,adeiladiad,adeiladiad,build,,n,m,sg,\N,\N,157dg15d15
1004,adeiladol,adeiladol,constructive,,adj,,,\N,\N,157dg15kg
1015,adeiladu,adeiladu,build,,v,\N,\N,\N,\N,157dg15s
1059,adeiladwaith,adeiladwaith,structure,,n,m,sg,\N,\N,157dg15t1dr
1060,adeiledig,adeiledig,built,,adj,,,\N,\N,157dg75da
1061,adeiledd,adeiledd,structure,(of object),n,m,sg,\N,\N,157dg76
1063,adeileddu,adeileddu,structure,,v,\N,\N,\N,\N,157dg76s
1064,aden,aden,wing,,n,f,sg,\N,\N,157j
1066,adeni,adeni,regenerate,,v,\N,\N,\N,\N,157jd
1099,adennill,adennill,recover,,v,\N,\N,\N,\N,157jjdh
1127,aderyn,aderyn,bird,,n,m,sg,\N,\N,157nuj
1181,adethol,adethol,re-elect,,v,\N,\N,\N,\N,157rkg
1183,adfail,adfail,ruin,,n,m,sg,\N,\N,1581dg
1217,adfeddu,adfeddu,appropriate,,v,\N,\N,\N,\N,15876s
1281,adfeilio,adfeilio,decay,,v,\N,\N,\N,\N,1587dgdk
1325,adfer,adfer,restore,,v,\N,\N,\N,\N,1587n
1346,adferiad,adferiad,restoration,,n,m,sg,\N,\N,1587nd15
1359,adferu,adferu,restore,,v,\N,\N,\N,\N,1587ns
1421,adfewnio,adfewnio,re-enter,,v,\N,\N,\N,\N,1587tjdk
