index,lemma,enlemma,pos,sort,gender
0,10 y cant,10 per cent,h,000u031jq,
1,'cw,there,adverb,03t,
2,'na,there,adverb,0j1,
3,â,as,conjunction,1,
4,a,and,conjunction,1,
5,a,who,pron.rel,1,\N
6,a,,prt.int,1,
7,â,with,preposition,1,
9,â'i ben yn ei blu,with his head in the sand,h,10d027j0uj07d02gs,
10,a'th,with_your,prep+poss,10r,
11,abacws,abacus,noun,1213tp,m
15,aber,estuary,noun,127n,m
16,Aberdyfi,Aberdovey,name,127n5u8d,
17,Abertawe,Swansea,name,127nq1t7,
18,aberth,sacrifice,noun,127nr,m
39,aberthu,sacrifice,verb,127nrs,\N
95,aberu,flow_into,verb,127ns,\N
130,abiéc,alphabet,noun,12d73,m
131,absennol,absent,adjective,12p7jjkg,
161,absennu,backbite,verb,12p7jjs,\N
186,absenoldeb,absence,noun,12p7jkg572,m
188,absoliwt,absolute,adjective,12pkgdtq,
189,ac,and,conjunction,13,
190,ac_ati,and_so_on,adverb,1301qd,
191,academaidd,academic,adjective,13157i1d6,
192,academi,academy,noun,13157id,m
195,academydd,academic,noun,13157iu6,m
196,acen,accent,noun,137j,f
229,acennu,accentuate,verb,137jjs,\N
253,acer,acre,noun,137n,f
254,aciwt,acute,adjective,13dtq,
255,acordion,accordion,noun,13kn5dkj,m
276,actio,act,verb,13qdk,\N
308,actor,actor,noun,13qkn,m
309,actores,actress,noun,13qkn7p,f
311,acw,over there,adverb,13t,
362,achlesu,succour,verb,14g7ps,\N
366,achlysur,occasion,noun,14gupsn,m
388,achlysuro,occasion,verb,14gupsnk,\N
422,achlysurol,occasional,adjective,14gupsnkg,
423,achos,cause,noun,14kp,m
424,achos,because,conjunction,14kp,\N
426,achos cryf dros,a strong case for,noun,14kp03nu805nkp,m
455,achosi,cause,verb,14kpd,\N
481,achosiant,causation,noun,14kpd1jq,m
482,achrededig,accredited,adjective,14n7575da,
483,achrediad,accreditation,noun,14n75d15,m
485,achredu,accredit,verb,14n75s,\N
505,achub,save,verb,14s2,\N
541,achubiad,deliverance,noun,14s2d15,m
545,achwyn,complain,verb,14tuj,\N
597,achwynydd,plaintiff,noun,14tuju6,m
601,ad-daliad,repayment,noun,15051gd15,m
623,ad-dalu,repay,verb,15051gs,\N
666,ad-drefnu,reorganise,verb,1505n78js,\N
712,adain,wing,noun,151dj,f
756,adalw,retrieve,verb,151gt,\N
770,adalwad,callback,noun,151gt15,f
775,adara,catch_birds,verb,151n1,\N
878,adarfogi,rearm,verb,151n8kad,\N
896,adargraffu,reprint,verb,151nan19s,\N
938,adborth,feedback,noun,152knr,m
939,adborthi,feedback,verb,152knrd,\N
940,adbryniad,redemption,noun,152nujd15,m
963,adchwyddo,reinflate,verb,154tu6k,\N
997,adeg,time,noun,157a,f
998,adeilad,building,noun,157dg15,mf
1000,adeiladaeth,construction,noun,157dg1517r,f
1003,adeiladiad,build,noun,157dg15d15,m
1004,adeiladol,constructive,adjective,157dg15kg,
1015,adeiladu,build,verb,157dg15s,\N
1059,adeiladwaith,structure,noun,157dg15t1dr,m
1060,adeiledig,built,adjective,157dg75da,
1061,adeiledd,structure,noun,157dg76,m
1063,adeileddu,structure,verb,157dg76s,\N
1064,aden,wing,noun,157j,f
1066,adeni,regenerate,verb,157jd,\N
1099,adennill,recover,verb,157jjdh,\N
1127,aderyn,bird,noun,157nuj,m
1181,adethol,re-elect,verb,157rkg,\N
1183,adfail,ruin,noun,1581dg,m
1217,adfeddu,appropriate,verb,15876s,\N
1281,adfeilio,decay,verb,1587dgdk,\N
1325,adfer,restore,verb,1587n,\N
1346,adferiad,restoration,noun,1587nd15,m
1359,adferu,restore,verb,1587ns,\N
1421,adfewnio,re-enter,verb,1587tjdk,\N
1490,adfywhau,reanimate,verb,158utc1s,\N
1503,adfywiad,revival,noun,158utd15,m
1539,adfywio,resuscitate,verb,158utdk,\N
1595,adio,add,verb,15dk,\N
1608,adlais,echo,noun,15g1dp,m
1633,adlamu,rebound,verb,15g1is,\N
1674,adleisio,resound,verb,15g7dpdk,\N
1729,adleoli,relocate,verb,15g7kgd,\N
1773,adlewyrchiad,reflection,noun,15g7tun4d15,m
1813,adlewyrchu,reflect,verb,15g7tun4s,\N
1850,adlifo,reflux,verb,15gd8k,\N
1883,adloniant,entertainment,noun,15gkjd1jq,m
1943,adnabod,know,verb,15j12k5,\N
1988,adnabyddadwy,identifiable,adjective,15j12u615tu,
1989,adnabyddedig,recognised,adjective,15j12u675da,
1991,adnabyddiad,recognition,noun,15j12u6d15,m
1992,adnabyddiaeth,recognition,noun,15j12u6d17r,f
1993,adnabyddus,familiar,adjective,15j12u6sp,
1995,adnau,deposit,noun,15j1s,m
2020,adneuo,deposit,verb,15j7sk,\N
2050,adnewyddadwy,renewable,adjective,15j7tu615tu,
2051,adnewyddiad,renewal,noun,15j7tu6d15,m
2097,adnewyddu,renew,verb,15j7tu6s,\N
2105,adnewyddu,refresh,verb,15j7tu6s,\N
2108,adnod,verse,noun,15jk5,f
2110,adnodd,resource,noun,15jk6,m
