,topic,cy,en
0,Clothes,Beth dych chi'n wisgo heddiw?,What are you wearing today?
1,Clothes,Pa ddillad dych chi'n wisgo yn y gaeaf?,What clothes do you wear in winter?
2,Clothes,Ydych chi'n hoffi dillad syml neu fwy lliwgar neu gymhleth?,Do you like simple clothes or ones that are more colourful or complex?
3,Clothes,Beth yw eich barn chi am esgidiau â sodlau uchel?,What is your opinion on high-heeled shoes?
4,Clothes,Pa fath o esgidiau wyt ti’n hoffi?,What kind of shoes do you like?
5,Clothes,Wyt ti'n hoffi siopa am ddillad?,Do you like shopping for clothes?
6,Clothes,Ydych chi'n gwisgo unrhywbeth arbennig heddiw?,Are you wearing anything special today?
7,Clothes,Beth dych chi'n wisgo i'r gwaith?,What do you wear to work?
8,Clothes,Oes well gyda chi dillad ffurfiol neu anffurfiol?,Do you prefer formal or informal clothes?
9,Clothes,Oes hoff ddarn o ddillad gennych chi?,Do you have a favourite item of clothing?
10,Clothes,Ydych chi'n siopa am ddillad ar-lein o gwbl?,Do you ever shop for clothes online?
11,Clothes,Beth yw eich barn chi am fenig?,What's your opinion on gloves?
12,Clothes,Beth yw eich barn chi am brynu dillad ail-law?,What's your opinion on buying second-hand clothes?
13,Colours,Ydych chi’n gwisgo dillad lliwgar?,Do you wear colourful clothes?
14,Colours,Pa liw yw eich hoff liw?,What colour is your favourite colour?
15,Colours,Oes well gyda chi lliwiau llachar neu dywyll?,Do you prefer bright or dark colours?
16,Colours,Pa liw yw eich llygaid?,What colour are your eyes?
17,Colours,Oes yna liw nad ydych chi'n ei hoffi?,Is there a colour you don't like?
18,Colours,Pa liw yw'r awyr heddiw?,What colour is the sky today?
19,Colours,Beth oedd lliw eich ystafell gwely pan oeddech chi'n ifanc?,What colour was your bedroom when you were younger?
20,Colours,Pa liw yw eich gwallt?,What colour is your hair?
21,Colours,Pa liw dillad dych chi'n gwisgo heddiw?,What colour clothes are you wearing today?
22,Colours,Oes well gyda chi ystafelloedd lliwgar neu syml?,Do you prefer colourful or simple rooms/interiors?
23,Colours,Pa liw yw eich tŷ?,What colour is your house?
24,Colours,Pa liw blodau dych chi'n hoffi?,What colour flowers do you like?
25,Colours,Ydych chi'n meddwl bod lliwiau'n bwysig?,Do you think colours are important?
26,Countries & Travel,Pa wlad wyt ti eisiau ymweld â hi?,Which country do you want to visit?
27,Countries & Travel,Pa wlad ydych chi wedi ymweld â hi y mwyaf?,Which country have you visited the most?
28,Countries & Travel,Beth yw'r pellaf dych chi wedi teithio?,What's the furthest you have travelled?
29,Countries & Travel,Beth yw eich hoff beth am deithio i wlad dramor?,What's your favourite thing about travelling to a foreign country?
30,Countries & Travel,Dych chi'n hoffi teithio ar eich pen eich hun?,Do you like travelling alone?
31,Countries & Travel,Dych chi wedi bod i Ffrainc?,Have you been to France?
32,Countries & Travel,O ba wlad dych chi'n dod?,What country do you come from?
33,Countries & Travel,Dych chi wedi byw mewn gwlad arall?,Have you lived in another country?
34,Countries & Travel,Pa wlad yw eich ffefryn?,What country is your favourite?
35,Countries & Travel,Ble aethoch chi ar eich gwyliau diwethaf?,Where did you go on your last holiday?
36,Countries & Travel,Dych chi'n siarad ieithoedd eraill?,Do you speak other languages?
37,Countries & Travel,Beth yw'r anfanteision o deithio yn eich barn chi?,"What are the disadvantages of travelling, in your opinion?"
38,Countries & Travel,Sut dych chi'n hoffi teithio?,How do you like to travel?
39,Daily Routine,Dych chi'n cymryd cawod yn y bore neu'r nos?,Do you take a shower in the morning or evening?
40,Daily Routine,Pryd dych chi'n mynd i'r gwely?,When do you go to bed?
41,Daily Routine,Dych chi'n gwylio'r newyddion bob dydd?,Do you watch the news every day?
42,Daily Routine,Beth yw'r peth cyntaf dych chi'n wneud yn y bore?,What's the first thing you do in the morning?
43,Daily Routine,Beth dych chi'n wneud ar ôl yr ysgol/gwaith?,What do you do after school/work?
44,Daily Routine,Dych chi'n gwneud ymarfer corff yn rheolaidd?,Do you exercise regularly?
45,Daily Routine,Pryd dych chi'n codi yn y bore?,When do you get up in the morning?
46,Daily Routine,Beth dych chi'n fwyta i frecwast?,What do you eat for breakfast?
47,Daily Routine,Ydych chi fel arfer yn prynu cinio neu'n dod â chinio o adref?,Do you usually buy lunch or bring it from home?
48,Daily Routine,Sut ydych chi'n teithio i'r ysgol/gwaith?,How do you travel to school/work?
49,Daily Routine,Oes yna rywbeth arbennig dych chi'n ceisio gwneud o leiaf unwaith bob dydd?,Is there something special you try to do at least once a day?
50,Daily Routine,"Beth yw eich hoff ran o'r diwrnod, a pham?","What is your favourite part of the day, and why?"
51,Daily Routine,Oes well gyda chi cael strwythyr pendant yn y dydd neu'r rhyddid i wneud pethau gwahanol?,Do you prefer having a specific structure to your day or the freedom to do different things?
52,Family,Sawl person sydd yn eich teulu chi?,How many people are in your family?
53,Family,Oes gyda chi brodyr neu chwiorydd?,Do you have any brothers or sisters?
54,Family,Oes anifeiliaid anwes gyda chi?,Do you have pets?
55,Family,Dych chi'n byw yn agos at eich teulu?,Do you live close by to your family?
56,Family,Oes nain a thaid gyda chi?,Do you have grandparents?
57,Family,Pa fath o swydd sydd gyda'ch rhieni?,What kinds of jobs do your parents have?
58,Food and Drink,Pa lysiau dych chi'n hoffi?,What vegetables do you like?
59,Food and Drink,Dych chi'n mynd mas i fwyta yn aml?,Do you go out to eat often?
60,Food and Drink,Ydy bwyta brecwast yn bwysig i chi?,Is eating breakfast important to you?
61,Food and Drink,Dych chi'n bwyta cig?,Do you eat meat?
62,Food and Drink,Dych chi'n hoffi siocled?,Do you like chocolate?
63,Food and Drink,Ydych chi'n yfed coffi? Beth yw eich barn chi amdano?,Do you drink coffee? What's your opninion on it?
64,Food and Drink,Dych chi'n gallu coginio?,Can you cook?
65,Food and Drink,Beth dych chi'n yfed gyda'ch bwyd?,What do you drink with your food?
66,Food and Drink,Beth yw eich hoff fwyd?,What is your favourite food?
67,Food and Drink,Dych chi'n hoffi bwyd â sbeis?,Do you like spicy food?
68,Food and Drink,Beth wyt ydych chi'n cael i frecwast fel arfer?,What do you usually have for breakfast?
